UserType,Username,RealName,Email,Role/Privilege,AuthMethod,AccessType,Source
FMC,ansible,ansible,N/A,"Administrator",Internal,Web UI,FMC API
FMC,admin,admin,N/A,"Administrator",Internal,Web UI,FMC API
FTD Local,Login,N/A,N/A,Privilege UID,Local,SSH/Console,FTD CLI - show user
FTD Local,admin,N/A,N/A,Privilege 100,Local,SSH/Console,FTD CLI - show user
FTD Local,qemu,N/A,N/A,Privilege 996,Local,SSH/Console,FTD CLI - show user
