UserType,Username,RealName,Email,Role/Privilege,AuthMethod,AccessType,Source
FMC,ansible,ansible,N/A,"Administrator",Internal,Web UI,FMC API
FMC,admin,admin,N/A,"Administrator",Internal,Web UI,FMC API
