Name,Type,ObjectType,Members,Value,Description,UUID,DateTime
"any-ipv4","Object","Network Object","","0.0.0.0/0","","cb7116e8-66a6-480b-8f9b-295191a0940a","2025-09-06 14:20:43"
"inside_network","Object","Network Object","","192.168.100.0/24","inside_network","0050569B-DF62-0ed3-0000-004295214249","2025-09-06 14:20:43"
"IPv4-Benchmark-Tests","Object","Network Object","","198.18.0.0/15","","86caab8a-9bdd-420d-858b-5690fde8ce58","2025-09-06 14:20:43"
"IPv4-Link-Local","Object","Network Object","","169.254.0.0/16","","f0ce41ae-6ee9-4e00-8762-da9370c4fee5","2025-09-06 14:20:43"
"IPv4-Multicast","Object","Network Object","","224.0.0.0/4","","5622db1c-5cd5-4199-a4c8-d8f86dec3bd4","2025-09-06 14:20:43"
"IPv4-Private-10.0.0.0-8","Object","Network Object","","10.0.0.0/8","","95916354-5aa1-4057-8eea-b42a5a207abc","2025-09-06 14:20:43"
"IPv4-Private-172.16.0.0-12","Object","Network Object","","172.16.0.0/12","","b7a78a7d-20c5-47b2-b02f-86b4360112ac","2025-09-06 14:20:43"
"IPv4-Private-192.168.0.0-16","Object","Network Object","","192.168.0.0/16","","1dcefdd8-07f7-438a-9221-97d63710614e","2025-09-06 14:20:43"
"IPv6-IPv4-Mapped","Object","Network Object","","::ffff:0.0.0.0/96","","1047b91f-db3a-45b8-9c10-f48ed3f0c3d6","2025-09-06 14:20:43"
"IPv6-Link-Local","Object","Network Object","","fe80::/10","","192c14f2-39d9-409d-81e9-357793bdf1ec","2025-09-06 14:20:43"
"IPv6-Private-Unique-Local-Addresses","Object","Network Object","","fc00::/7","","0434674f-87f8-4e17-810e-97100407858b","2025-09-06 14:20:43"
"IPv6-to-IPv4-Relay-Anycast","Object","Network Object","","192.88.99.0/24","","04ea3f1f-f5a9-4eca-b051-487ebeb4c97f","2025-09-06 14:20:43"
"n1.3.1.0_24","Object","Network Object","","1.3.1.0/24","Network object for static route 1.3.1.0/24","0050569B-DF62-0ed3-0000-017179925261","2025-09-06 14:20:43"
"n10.0.1.0_24","Object","Network Object","","10.0.1.0/24","Network object for static route 10.0.1.0/24","0050569B-DF62-0ed3-0000-017179933269","2025-09-06 14:20:43"
"n10.11.15.0_24","Object","Network Object","","10.11.15.0/24","Network object for static route 10.11.15.0/24","0050569B-DF62-0ed3-0000-017179953703","2025-09-06 14:20:43"
"n11.12.13.0_24","Object","Network Object","","11.12.13.0/24","Network object for static route 11.12.13.0/24","0050569B-DF62-0ed3-0000-017179926226","2025-09-06 14:20:43"
"net_10_10_11_0_24","Object","Network Object","","10.10.11.0/24","Network object for static route 10.10.11.0/24","0050569B-DF62-0ed3-0000-017179924997","2025-09-06 14:20:43"
"net_10_10_9_0_24","Object","Network Object","","10.10.9.0/24","Network object for static route 10.10.9.0/24","0050569B-DF62-0ed3-0000-017179925062","2025-09-06 14:20:43"
"net_129_23_0_0_16","Object","Network Object","","129.23.0.0/16","Network object for static route 129.23.0.0/16","0050569B-DF62-0ed3-0000-017179923834","2025-09-06 14:20:43"
